full_name,pdes,a,e,i,om,w,primary_type,detail_type1,detail_type2
 86829 (2000 GR146),86829,1.463,0.5748,14.37,78.46,31.42,Asteroid,NEO,Apollo
 86878 (2000 HD24),86878,1.342,0.6185,9.47,230.99,214.91,Asteroid,NEO,Apollo
  1566 Icarus (1949 MA),1566,1.078,0.8269,22.8,87.95,31.44,Asteroid,PHA,Apollo
  1620 Geographos (1951 RA),1620,1.246,0.3355,13.34,337.17,276.96,Asteroid,PHA,Apollo
  1862 Apollo (1932 HA),1862,1.471,0.5599,6.35,35.56,286.06,Asteroid,PHA,Apollo
  1981 Midas (1973 EA),1981,1.777,0.65,39.83,356.85,267.82,Asteroid,PHA,Apollo
  2101 Adonis (1936 CA),2101,1.874,0.7643,1.32,349.47,43.63,Asteroid,PHA,Apollo
  2102 Tantalus (1975 YA),2102,1.29,0.2993,64,94.35,61.53,Asteroid,PHA,Apollo
  2135 Aristaeus (1977 HA),2135,1.6,0.5029,23.07,191.12,290.97,Asteroid,PHA,Apollo
  2201 Oljato (1947 XC),2201,2.177,0.7121,2.52,74.91,98.38,Asteroid,PHA,Apollo
  3200 Phaethon (1983 TB),3200,1.271,0.8899,22.27,265.17,322.22,Asteroid,PHA,Apollo
  3361 Orpheus (1982 HR),3361,1.21,0.3229,2.66,188.68,302.36,Asteroid,PHA,Apollo
  3671 Dionysus (1984 KD),3671,2.199,0.541,13.53,82.07,204.3,Asteroid,PHA,Apollo
  4015 Wilson-Harrington (1979 VA),4015,2.624,0.6317,2.8,266.77,95.45,Asteroid,PHA,Apollo
  4034 Vishnu (1986 PA),4034,1.06,0.444,11.17,157.9,296.7,Asteroid,PHA,Apollo
  4179 Toutatis (1989 AC),4179,2.544,0.6246,0.45,125.3,277.89,Asteroid,PHA,Apollo
  4183 Cuno (1959 LM),4183,1.981,0.636,6.67,294.35,237.04,Asteroid,PHA,Apollo
  4450 Pan (1987 SY),4450,1.442,0.5867,5.52,311.77,291.84,Asteroid,PHA,Apollo
  4486 Mithra (1987 SB),4486,2.2,0.6625,3.04,82.24,168.89,Asteroid,PHA,Apollo
  4581 Asclepius (1989 FC),4581,1.023,0.3569,4.92,180.21,255.36,Asteroid,PHA,Apollo
  4660 Nereus (1982 DB),4660,1.485,0.3588,1.45,313.14,159.52,Asteroid,PHA,Apollo
  4769 Castalia (1989 PB),4769,1.063,0.4831,8.89,325.53,121.41,Asteroid,PHA,Apollo
  4953 (1990 MU),4953,1.621,0.6574,24.38,77.53,77.95,Asteroid,PHA,Apollo
  5011 Ptah (6743 P-L),5011,1.636,0.5001,7.41,10.64,105.95,Asteroid,PHA,Apollo
  5189 (1990 UQ),5189,1.552,0.478,3.58,135.07,159.95,Asteroid,PHA,Apollo
  5693 (1993 EA),5693,1.271,0.5852,5.06,96.99,258.97,Asteroid,PHA,Apollo
  6037 (1988 EG),6037,1.271,0.4996,3.5,182.36,242.18,Asteroid,PHA,Apollo
  6239 Minos (1989 QF),6239,1.151,0.4126,3.94,344.57,239.7,Asteroid,PHA,Apollo
  6489 Golevka (1991 JX),6489,2.485,0.6123,2.27,209.47,68.67,Asteroid,PHA,Apollo
  7335 (1989 JA),7335,1.772,0.4846,15.17,61.28,232.3,Asteroid,PHA,Apollo
  7341 (1991 VK),7341,1.841,0.506,5.41,294.74,173.49,Asteroid,PHA,Apollo
  7482 (1994 PC1),7482,1.349,0.3294,33.47,117.86,47.49,Asteroid,PHA,Apollo
  7753 (1988 XB),7753,1.467,0.4816,3.12,73.39,280.07,Asteroid,PHA,Apollo
  7822 (1991 CS),7822,1.123,0.1646,37.12,156.85,249.44,Asteroid,PHA,Apollo
  8014 (1990 MF),8014,1.747,0.4562,1.87,209.84,114.76,Asteroid,PHA,Apollo
  8566 (1996 EN),8566,1.506,0.4303,37.98,164.12,125.14,Asteroid,PHA,Apollo
  9856 (1991 EE),9856,2.242,0.6259,9.83,168.1,116.21,Asteroid,PHA,Apollo
 10115 (1992 SK),10115,1.248,0.3248,15.32,8.9,233.64,Asteroid,PHA,Apollo
 11500 Tomaiyowit (1989 UR),11500,1.08,0.3559,10.31,234.4,289.51,Asteroid,PHA,Apollo
 12538 (1998 OH),12538,1.542,0.4063,24.54,220.7,321.79,Asteroid,PHA,Apollo
 12923 Zephyr (1999 GK4),12923,1.962,0.492,5.31,168.18,147.11,Asteroid,PHA,Apollo
 13651 (1997 BR),13651,1.336,0.3057,17.25,116.65,133.8,Asteroid,PHA,Apollo
 14827 Hypnos (1986 JK),14827,2.843,0.6655,1.98,57.94,238.18,Asteroid,PHA,Apollo
 16960 (1998 QS52),16960,2.2,0.8589,17.52,260.17,243.25,Asteroid,PHA,Apollo
 20425 (1998 VD35),20425,1.564,0.4769,6.99,227.26,296.32,Asteroid,PHA,Apollo
 22753 (1998 WT),22753,1.219,0.5698,3.2,307.4,324.77,Asteroid,PHA,Apollo
 23187 (2000 PN9),23187,1.847,0.5893,51.33,164.31,293.52,Asteroid,PHA,Apollo
 25143 Itokawa (1998 SF36),25143,1.324,0.2801,1.62,69.08,162.81,Asteroid,PHA,Apollo
 26663 (2000 XK47),26663,1.546,0.472,13.53,303.65,231.16,Asteroid,PHA,Apollo
 27002 (1998 DV9),27002,1.744,0.4332,8.7,130.35,0.81,Asteroid,PHA,Apollo
 29075 (1950 DA),29075,1.698,0.5083,12.17,356.65,224.66,Asteroid,PHA,Apollo
 31669 (1999 JT6),31669,2.137,0.5777,9.54,78.79,39.1,Asteroid,PHA,Apollo
 35107 (1991 VH),35107,1.137,0.1442,13.91,139.35,206.97,Asteroid,PHA,Apollo
 35396 (1997 XF11),35396,1.442,0.4837,4.1,213.65,103.05,Asteroid,PHA,Apollo
 37638 (1993 VB),37638,1.913,0.5196,5.08,145.59,323.15,Asteroid,PHA,Apollo
 37655 Illapa (1994 PM),37655,1.478,0.7524,18.03,139.54,303.88,Asteroid,PHA,Apollo
 41429 (2000 GE2),41429,1.593,0.5553,2.17,351.92,297.22,Asteroid,PHA,Apollo
 52760 (1998 ML14),52760,2.409,0.6235,2.43,338.72,20.31,Asteroid,PHA,Apollo
 52768 (1998 OR2),52768,2.38,0.5754,5.88,26.94,174.58,Asteroid,PHA,Apollo
 53319 (1999 JM8),53319,2.723,0.6416,13.84,133.62,166.83,Asteroid,PHA,Apollo
 53426 (1999 SL5),53426,1.923,0.5382,22.77,239.07,43.35,Asteroid,PHA,Apollo
 53429 (1999 TF5),53429,2.023,0.6399,26.79,199.21,64.07,Asteroid,PHA,Apollo
 53550 (2000 BF19),53550,1.495,0.4196,7.17,313.21,324.92,Asteroid,PHA,Apollo
 53789 (2000 ED104),53789,1.371,0.2693,40.79,190.02,218.34,Asteroid,PHA,Apollo
 65690 (1991 DG),65690,1.428,0.3633,11.14,180.12,63.32,Asteroid,PHA,Apollo
 65717 (1993 BX3),65717,1.395,0.2809,2.81,174.76,290.97,Asteroid,PHA,Apollo
 65803 Didymos (1996 GT),65803,1.643,0.3833,3.41,72.99,319.56,Asteroid,PHA,Apollo
 65909 (1998 FH12),65909,1.091,0.5398,3.56,108.6,284.49,Asteroid,PHA,Apollo
 67381 (2000 OL8),67381,1.32,0.5432,10.67,294.9,266.87,Asteroid,PHA,Apollo
  2062 Aten (1976 AA),2062,0.967,0.1828,18.93,108.54,148.05,Asteroid,NEO,Aten
  2100 Ra-Shalom (1978 RA),2100,0.832,0.4366,15.76,170.78,356.08,Asteroid,NEO,Aten
  3554 Amun (1986 EB),3554,0.974,0.2807,23.36,358.61,359.42,Asteroid,NEO,Aten
  3753 Cruithne (1986 TO),3753,0.9977,0.515,19.8,126.21,43.87,Asteroid,NEO,Aten
  5381 Sekhmet (1991 JY),5381,0.9475,0.2964,48.97,58.53,37.42,Asteroid,NEO,Aten
  5590 (1990 VA),5590,0.9857,0.2795,14.19,216.28,34.49,Asteroid,NEO,Aten
 66063 (1998 RO1),66063,0.991,0.72,22.69,351.85,151.17,Asteroid,NEO,Aten
 66146 (1998 TU3),66146,0.7876,0.4838,5.41,101.99,84.88,Asteroid,NEO,Aten
 66400 (1999 LT7),66400,0.8554,0.5725,9.06,79.8,341.4,Asteroid,NEO,Aten
 85770 (1998 UP1),85770,0.998,0.3452,33.18,18.33,234.21,Asteroid,NEO,Aten
 85953 (1999 FK21),85953,0.7387,0.7031,12.61,180.47,172.41,Asteroid,NEO,Aten
 86450 (2000 CK33),86450,0.968,0.4148,18.11,124.85,215.61,Asteroid,NEO,Aten
 86667 (2000 FO10),86667,0.8594,0.5947,14.29,208.32,172.48,Asteroid,NEO,Aten
 87309 (2000 QP),87309,0.8475,0.4631,34.74,294.27,188.17,Asteroid,NEO,Aten
 88213 (2001 AF2),88213,0.954,0.5952,17.81,114.26,194.99,Asteroid,NEO,Aten
  2340 Hathor (1976 UA),2340,0.8438,0.4499,5.86,211.31,40.09,Asteroid,PHA,Aten
  3362 Khufu (1984 QA),3362,0.9895,0.4686,9.92,152.42,55.05,Asteroid,PHA,Aten
  5604 (1992 FE),5604,0.9286,0.4061,4.72,311.9,82.66,Asteroid,PHA,Aten
 33342 (1998 WT24),33342,0.7188,0.4176,7.37,81.67,167.53,Asteroid,PHA,Aten
 65679 (1989 UQ),65679,0.9147,0.2646,1.3,178.1,15.01,Asteroid,PHA,Aten
 66391 Moshup (1999 KW4),66391,0.6424,0.6884,38.88,244.9,192.64,Asteroid,PHA,Aten
 68347 (2001 KB67),68347,0.9621,0.3801,17.12,245.86,243.79,Asteroid,PHA,Aten
 85989 (1999 JD6),85989,0.8831,0.6328,17.06,130.16,309.23,Asteroid,PHA,Aten
 87684 (2000 SY2),87684,0.8587,0.6428,19.23,162.03,47.78,Asteroid,PHA,Aten
 99942 Apophis (2004 MN4),99942,0.9227,0.1914,3.34,203.96,126.61,Asteroid,PHA,Aten
163693 Atira (2003 CP20),163693,0.741,0.3222,25.62,103.88,252.93,Asteroid,NEO,Atira
164294 (2004 XZ130),164294,0.6175,0.4546,2.95,211.16,5.4,Asteroid,NEO,Atira
413563 (2005 TG45),413563,0.6814,0.3723,23.33,273.42,230.44,Asteroid,NEO,Atira
418265 (2008 EA32),418265,0.6159,0.305,28.26,100.95,181.83,Asteroid,NEO,Atira
594913 'Aylo'chaxnim (2020 AV2),594913,0.5554,0.1771,15.87,6.7,187.33,Asteroid,NEO,Atira
613676 (2006 WE4),613676,0.7848,0.1829,24.77,311,318.59,Asteroid,NEO,Atira
434326 (2004 JG6),434326,0.6353,0.5312,18.94,37.01,353,Asteroid,PHA,Atira
481817 (2008 UL90),481817,0.695,0.3798,24.31,81.13,183.65,Asteroid,PHA,Atira
    1P/Halley,1P,17.93,0.9679,162.19,59.11,112.26,Comet,NEO,Short-period
    2P/Encke,2P,2.215,0.8484,11.78,334.57,186.55,Comet,NEO,Short-period
    3D/Biela,3D,3.535,0.7513,13.22,250.67,221.66,Comet,NEO,Short-period
    5D/Brorsen,5D,3.101,0.8098,29.38,102.97,14.95,Comet,NEO,Short-period
    7P/Pons-Winnecke,7P,3.419,0.6376,22.33,93.42,172.51,Comet,NEO,Short-period
    8P/Tuttle,8P,5.7,0.8198,54.98,270.34,207.51,Comet,NEO,Short-period
   12P/Pons-Brooks,12P,17.12,0.9543,74.11,255.74,199.01,Comet,NEO,Short-period
   13P/Olbers,13P,16.91,0.9303,44.61,86.1,64.64,Comet,NEO,Short-period
   15P/Finlay,15P,3.49,0.7202,6.8,13.75,347.63,Comet,NEO,Short-period
   18D/Perrine-Mrkos,18D,3.56,0.6426,17.76,240.88,166.05,Comet,NEO,Short-period
   20D/Westphal,20D,15.64,0.9198,40.89,348.01,57.08,Comet,NEO,Short-period
   21P/Giacobini-Zinner,21P,3.5,0.7105,32,195.41,172.81,Comet,NEO,Short-period
   23P/Brorsen-Metcalf,23P,17.07,0.972,19.33,311.59,129.61,Comet,NEO,Short-period
   24P/Schaumasse,24P,4.086,0.7048,11.73,79.67,58,Comet,NEO,Short-period
   26P/Grigg-Skjellerup,26P,3.038,0.6339,22.41,211.64,1.64,Comet,NEO,Short-period
   27P/Crommelin,27P,9.236,0.919,28.97,250.63,196.03,Comet,NEO,Short-period
   34D/Gale,34D,4.944,0.7607,11.73,67.92,209.16,Comet,NEO,Short-period
   35P/Herschel-Rigollet,35P,28.84,0.974,64.21,355.98,29.3,Comet,NEO,Short-period
   41P/Tuttle-Giacobini-Kresak,41P,3.085,0.6613,9.23,141.07,62.16,Comet,NEO,Short-period
   45P/Honda-Mrkos-Pajdusakova,45P,3.026,0.824,4.25,88.93,326.34,Comet,NEO,Short-period
   46P/Wirtanen,46P,3.093,0.6588,11.75,82.16,356.34,Comet,NEO,Short-period
   55P/Tempel-Tuttle,55P,10.34,0.9056,162.49,235.27,172.5,Comet,NEO,Short-period
   66P/du Toit,66P,6.023,0.7866,18.67,22,257.34,Comet,NEO,Short-period
   67P/Churyumov-Gerasimenko,67P,3.462,0.6409,7.04,50.14,12.8,Comet,NEO,Short-period
   72P/Denning-Fujikawa,72P,4.336,0.8192,9.17,36.11,337.86,Comet,NEO,Short-period
   73P/Schwassmann-Wachmann 3,73P,3.091,0.6855,11.24,69.66,199.39,Comet,NEO,Short-period
   79P/du Toit-Hartley,79P,3.031,0.5941,2.89,307.84,253.27,Comet,NEO,Short-period
   85P/Boethin,85P,5.185,0.7812,4.3,359.4,37.62,Comet,NEO,Short-period
   96P/Machholz 1,96P,3.032,0.9591,58.23,94.29,14.77,Comet,NEO,Short-period
  103P/Hartley 2,103P,3.47,0.6949,13.62,219.76,181.21,Comet,NEO,Short-period
  104P/Kowal 2,104P,3.208,0.6655,5.7,207.21,227.25,Comet,NEO,Short-period
  109P/Swift-Tuttle,109P,26.09,0.9632,113.45,139.38,152.98,Comet,NEO,Short-period
  122P/de Vico,122P,17.68,0.9627,85.38,79.62,13,Comet,NEO,Short-period
  141P/Machholz 2,141P,3.055,0.7367,13.98,241.88,153.62,Comet,NEO,Short-period
  157P/Tritton,157P,3.365,0.6285,11,289.64,157.34,Comet,NEO,Short-period
  161P/Hartley-IRAS,161P,7.73,0.8351,95.7,1.4,47.09,Comet,NEO,Short-period
  162P/Siding Spring,162P,3.053,0.5961,27.82,31.24,356.31,Comet,NEO,Short-period
  169P/NEAT,169P,2.606,0.7668,11.3,176.19,217.96,Comet,NEO,Short-period
  177P/Barnard,177P,24.3,0.9544,31.22,272.07,60.45,Comet,NEO,Short-period
  181P/Shoemaker-Levy 6,181P,3.839,0.7073,16.98,37.68,333.8,Comet,NEO,Short-period
  182P/LONEOS,182P,2.931,0.6663,16.91,75.1,51.43,Comet,NEO,Short-period
  185P/Petriew,185P,3.1,0.6993,14.01,214.09,181.94,Comet,NEO,Short-period
  189P/NEAT,189P,2.918,0.5976,20.4,282.2,15.31,Comet,NEO,Short-period
  197P/LINEAR,197P,2.867,0.6299,25.56,66.4,188.75,Comet,NEO,Short-period
  206P/Barnard-Boattini,206P,3.234,0.6485,33.2,204.38,181.36,Comet,NEO,Short-period
  207P/NEAT,207P,3.884,0.757,10.15,200.67,271.2,Comet,NEO,Short-period
  209P/LINEAR,209P,2.937,0.6889,20.98,63.2,152.47,Comet,NEO,Short-period
  210P/Christensen,210P,3.176,0.8317,10.22,93.87,345.77,Comet,NEO,Short-period
  217P/LINEAR,217P,3.944,0.6896,12.88,125.62,246.77,Comet,NEO,Short-period
  222P/LINEAR,222P,2.857,0.7268,5.15,7.13,345.43,Comet,NEO,Short-period
  249P/LINEAR,249P,2.77,0.8187,8.4,239.85,64.81,Comet,NEO,Short-period
  252P/LINEAR,252P,3.047,0.6731,10.42,190.95,343.31,Comet,NEO,Short-period
  255P/Levy,255P,3.025,0.672,18.33,279.78,179.59,Comet,NEO,Short-period
  262P/McNaught-Russell,262P,6.935,0.8154,29.08,218.01,171.17,Comet,NEO,Short-period
  263P/Gibbs,263P,3.062,0.5876,11.53,105.82,34.61,Comet,NEO,Short-period
  273P/Pons-Gambart,273P,32.83,0.9753,136.4,320.43,20.19,Comet,NEO,Short-period
  289P/Blanpain,289P,3.045,0.6851,5.9,68.92,9.85,Comet,NEO,Short-period
  294P/LINEAR,294P,3.194,0.5986,18.54,314.34,234.17,Comet,NEO,Short-period
  300P/Catalina,300P,2.699,0.6917,5.68,95.69,222.87,Comet,NEO,Short-period
  306P/LINEAR,306P,3.104,0.5983,8.36,341.5,0.77,Comet,NEO,Short-period
  317P/WISE,317P,2.957,0.5802,11.96,275.69,334.74,Comet,NEO,Short-period
  319P/Catalina-McNaught,319P,3.573,0.665,15.07,111.37,203.68,Comet,NEO,Short-period
  320P/McNaught,320P,3.103,0.6824,4.89,295.96,0.67,Comet,NEO,Short-period
  321P/SOHO,321P,2.427,0.9807,19.74,165.27,172.41,Comet,NEO,Short-period
  322P/SOHO,322P,2.516,0.9787,12.59,359.52,49.05,Comet,NEO,Short-period
  323P/SOHO,323P,2.582,0.9848,5.37,324.23,353.17,Comet,NEO,Short-period
  325P/Yang-Gao,325P,3.406,0.6241,16.32,258.87,347,Comet,NEO,Short-period
  333P/LINEAR,333P,4.224,0.7359,131.88,115.56,26.14,Comet,NEO,Short-period
  342P/SOHO,342P,3.043,0.9826,13.27,43.4,58.7,Comet,NEO,Short-period
  364P/PANSTARRS,364P,2.878,0.7227,12.15,46.22,211.95,Comet,NEO,Short-period
  384P/Kowalski,384P,2.908,0.6154,7.29,354.46,37.28,Comet,NEO,Short-period
  387P/Boattini,387P,4.799,0.736,8.9,259.36,162.78,Comet,NEO,Short-period
  405P/Lemmon,405P,3.607,0.6891,9.37,3.31,112.29,Comet,NEO,Short-period
  414P/STEREO,414P,2.795,0.8117,23.38,257.79,210.74,Comet,NEO,Short-period
  460P/PANSTARRS,460P,3.022,0.6663,18.92,180.53,351.9,Comet,NEO,Short-period
     D/1766 G1 (Helfenzrieder),1766 G1,2.665,0.8476,7.87,76.26,178.7,Comet,NEO,Short-period
     D/1770 L1 (Lexell),1770 L1,3.153,0.7861,1.55,134.47,225.02,Comet,NEO,Short-period
     D/1884 O1 (Barnard),1884 O1,3.073,0.5836,5.47,6.75,301.05,Comet,NEO,Short-period
     D/1894 F1 (Denning),1894 F1,3.804,0.6984,5.53,85.71,46.39,Comet,NEO,Short-period
     D/1895 Q1 (Swift),1895 Q1,3.729,0.652,2.99,171.75,167.78,Comet,NEO,Short-period
     C/1905 F1 (Giacobini),1905 F1,23.56,0.9528,40.07,158.95,358.16,Comet,NEO,Short-period
     C/1914 S1 (Campbell),1914 S1,7.053,0.9038,76.86,2.4,265.28,Comet,NEO,Short-period
     C/1917 F1 (Mellish),1917 F1,27.4,0.9931,32.69,88.67,121.31,Comet,NEO,Short-period
     C/1921 H1 (Dubiago),1921 H1,17.1,0.9347,22.35,67.13,97.48,Comet,NEO,Short-period
     C/1937 D1 (Wilk),1937 D1,31.97,0.9806,26.01,58.27,31.46,Comet,NEO,Short-period
     C/1942 EA (Vaisala),1942 EA,19.4,0.9336,38,172.29,335.22,Comet,NEO,Short-period
     C/1960 Y1 (Candy),1960 Y1,15.03,0.9303,151.17,177.29,138.76,Comet,NEO,Short-period
     D/1978 R1 (Haneda-Campos),1978 R1,3.29,0.6652,5.95,132.25,240.46,Comet,NEO,Short-period
     C/1989 A3 (Bradfield),1989 A3,19.2,0.9781,83.06,28.44,194.77,Comet,NEO,Short-period
     C/1991 L3 (Levy),1991 L3,13.81,0.9289,19.19,329.43,41.48,Comet,NEO,Short-period
     P/1999 J6 (SOHO),1999 J6,3.099,0.9842,26.63,81.6,21.95,Comet,NEO,Short-period
     P/1999 RO28 (LONEOS),1999 RO28,3.527,0.6508,8.19,148.45,219.86,Comet,NEO,Short-period
     C/2001 OG108 (LONEOS),2001 OG108,13.3,0.9253,80.25,10.56,116.42,Comet,NEO,Short-period
     C/2001 W2 (BATTERS),2001 W2,17.93,0.9414,115.91,113.36,142.09,Comet,NEO,Short-period
     C/2002 R5 (SOHO),2002 R5,3.216,0.9853,14.12,13.21,45.73,Comet,NEO,Short-period
     P/2002 S7 (SOHO),2002 S7,3.224,0.9848,13.58,50.19,52.17,Comet,NEO,Short-period
     P/2003 T12 (SOHO),2003 T12,2.568,0.7762,11.48,176.47,217.67,Comet,NEO,Short-period
     P/2005 T4 (SWAN),2005 T4,9.324,0.9304,160.04,25.42,41.44,Comet,NEO,Short-period
     P/2006 HR30 (Siding Spring),2006 HR30,7.818,0.8431,31.88,309.95,117.41,Comet,NEO,Short-period
     P/2007 T2 (Kowalski),2007 T2,3.093,0.775,9.9,4,358.55,Comet,NEO,Short-period
     P/2008 Y12 (SOHO),2008 Y12,3.078,0.9788,23.35,312.57,146.62,Comet,NEO,Short-period
     P/2009 WX51 (Catalina),2009 WX51,3.08,0.7403,9.59,31.76,118.02,Comet,NEO,Short-period
     C/2010 L5 (WISE),2010 L5,8.26,0.9042,147.05,206.47,214.76,Comet,NEO,Short-period
     P/2011 NO1 (Elenin),2011 NO1,5.615,0.779,15.38,296.11,263.45,Comet,NEO,Short-period
     C/2011 S2 (Kowalski),2011 S2,16.31,0.9316,17.57,288.07,192.19,Comet,NEO,Short-period
     P/2012 NJ (La Sagra),2012 NJ,8.503,0.8481,84.38,315.76,338.41,Comet,NEO,Short-period
     P/2015 A3 (PANSTARRS),2015 A3,7.482,0.8459,172.51,277.08,249.62,Comet,NEO,Short-period
     C/2015 D1 (SOHO),2015 D1,4.989,0.9943,69.62,95.88,234.96,Comet,NEO,Short-period
     C/2015 F5 (SWAN-Xingming),2015 F5,15.55,0.9777,149.26,287.74,13.39,Comet,NEO,Short-period
     C/2015 X8 (NEOWISE),2015 X8,19.55,0.9391,155.28,191.11,20.4,Comet,NEO,Short-period
     P/2017 Y3 (Leonard),2017 Y3,9.865,0.8707,27.59,153.87,67.53,Comet,NEO,Short-period
     P/2018 HT3 (NEOWISE),2018 HT3,2.975,0.8256,29.28,283.21,216.37,Comet,NEO,Short-period
     P/2019 M2 (ATLAS),2019 M2,3.026,0.6485,12.28,307.6,332.52,Comet,NEO,Short-period
     P/2019 Y3 (Catalina),2019 Y3,2.998,0.6958,24.64,139.38,2.27,Comet,NEO,Short-period
     P/2020 G1 (Pimentel),2020 G1,3.603,0.8596,18.47,240.11,207.64,Comet,NEO,Short-period
     C/2020 M3 (ATLAS),2020 M3,26.82,0.9527,23.47,71.25,328.45,Comet,NEO,Short-period
     P/2021 HS (PANSTARRS),2021 HS,4.196,0.8102,12.17,262.4,46.09,Comet,NEO,Short-period
     P/2021 N1 (ZTF),2021 N1,2.977,0.6768,11.51,301.16,21.19,Comet,NEO,Short-period
     P/2021 PE20 (ATLAS),2021 PE20,3.746,0.6708,20.02,99.63,210.45,Comet,NEO,Short-period
     P/2021 Q5 (ATLAS),2021 Q5,3.285,0.6242,10.73,239.78,180.89,Comet,NEO,Short-period
     C/2023 E1 (ATLAS),2023 E1,19.35,0.9469,38.31,164.58,105.89,Comet,NEO,Short-period
